plot	X	Y	Mitigada2	Mitigada3	Mitigada4	Water2	Water3	Water4
80001	401922	4683695	178.9	184.13	295.14	0.6189	0.4972	0.4888
80002	399895	4682821	434.35	370.25	631.07	0.3639	0.3281	0.2761
80003	400898	4682826	138.62	158.82	259.66	0.611	0.3098	0.324
80004	401903	4682780	117.71	178.66	351.37	0.7222	0.4853	0.2272
80005	399917	4681736	244.53	200.8	311.67	0.4279	0.2698	0.2084
80006	396931	4680825	238.17	232.5	408.54	0.4944	0.3678	0.2465
80009	401899	4680834	250.19	211.74	310.03	0.4032	0.1952	0.0907
80014	397927	4679764	137.86	139.19	221.01	0.6418	0.5074	0.4342
80016	392906	4678796	356.95	299.63	376.28	0.1422	0.1337	0.334
80020	397842	4678864	248.69	202.52	307.91	0.2893	0.2769	0.0847
80024	395903	4677804	194.27	213.27	260.12	0.7427	0.3831	0.6523
80028	397907	4676810	756.52	612.79	976.74	0.5158	0.4594	0.2919
80033	396898	4675792	136.46	137.84	208.72	0.6984	0.5447	0.4944
80034	400893	4675783	125.35	127.67	153.5	0.5727	0.3526	0.4023
80038	393945	4673806	124.04	81.97	123.06	0.4874	0.5764	0.5068
80041	397872	4673769	106.89	97.8	141.52	0.4747	0.3519	0.3984
80043	399945	4673823	113.82	119.81	198.26	0.6474	0.4676	0.4028
80044	391905	4672812	140.02	139.8	198.56	0.681	0.416	0.4811
80046	393915	4672746	151.94	175.56	367.03	0.7183	0.6405	0.419
80047	394893	4672799	150.1	110.67	139.24	0.4672	0.527	0.5733
80048	395918	4672790	352.81	348.64	563.16	0.7275	0.5943	0.6036
80049	396938	4672836	132.71	112.43	181.94	0.6123	0.5857	0.5234
80050	397963	4672776	95.78	80.69	69.62	0.4047	0.3798	0.6344
80055	399928	4671826	317.77	260.57	456.44	0.5586	0.5325	0.4046
80059	399872	4670827	213.19	197.94	304.03	0.5311	0.4503	0.3567
80061	401918	4670796	166.63	108.73	210.97	0.5437	0.3584	0.4007
80063	398884	4669764	648.03	522.74	854.85	0.4307	0.3927	0.2706
80064	399831	4669789	212.24	161.2	263.1	0.3897	0.3369	0.2177
80068	408944	4683846	210.25	152.81	188.12	0.606	0.5558	0.6253
80072	403906	4682796	205.15	124.91	195.67	0.2798	0.4308	0.2647
80075	406845	4682897	279.68	228.98	325.37	0.3997	0.3472	0.2076
80076	407933	4682760	192.52	204.5	292.92	0.5637	0.2713	0.2856
80077	403937	4681735	266.61	175.56	298	0.345	0.4746	0.2188
80081	407965	4681779	205.38	187.3	287.04	0.6374	0.4898	0.4117
80083	410906	4681775	168.7	156.51	224.02	0.4469	0.2501	0.0426
80085	412931	4681730	296.22	227.64	235.25	0.3193	0.141	0.468
