plot	X	Y	ErosIFN2	ErosIFN3	ErosIFN4
80001	401922	4683695	178.9037084	184.1305358	295.1370081
80002	399895	4682821	434.353353	370.2459934	631.0743997
80003	400898	4682826	138.6196283	158.8217381	259.6592733
80004	401903	4682780	117.7126885	178.659414	351.369069
80005	399917	4681736	244.5329019	200.7992813	311.666479
80006	396931	4680825	238.1710241	232.5046172	408.5403445
80009	401899	4680834	250.1911804	211.7396131	310.0264169
80014	397927	4679764	137.8566986	139.1868133	221.0091295
80016	392906	4678796	356.9479373	299.6257406	376.2846652
80020	397842	4678864	248.6889923	202.5156126	307.9091901
80024	395903	4677804	194.2743666	213.2687856	260.1196025
80028	397907	4676810	756.5212184	612.7936722	976.7389509
80033	396898	4675792	136.4581609	137.8355522	208.7155873
80034	400893	4675783	125.3500064	127.6727468	153.4977977
80038	393945	4673806	124.040453	81.97186344	123.0644514
80041	397872	4673769	106.8884746	97.7961966	141.5175381
80043	399945	4673823	113.8217973	119.8102042	198.2648846
80044	391905	4672812	140.0163944	139.8027923	198.5626813
80046	393915	4672746	151.9389131	175.5612337	367.0260526
80047	394893	4672799	150.1006758	110.667566	139.2418895
80048	395918	4672790	352.8102689	348.6427658	563.1580763
80049	396938	4672836	132.7054306	112.433383	181.9385796
80050	397963	4672776	95.7817282	80.69167694	69.61531386
80055	399928	4671826	317.7706834	260.5745163	456.4393443
80059	399872	4670827	213.1900857	197.9426733	304.0349972
80061	401918	4670796	166.6341998	108.7323991	210.9670152
80063	398884	4669764	648.0273626	522.7405749	854.8477514
80064	399831	4669789	212.2393124	161.2032709	263.1035687
80068	408944	4683846	210.2518948	152.8109888	188.1218527
80072	403906	4682796	205.1530851	124.9065227	195.6676562
80075	406845	4682897	279.6842388	228.9805711	325.370777
80076	407933	4682760	192.5182298	204.5048583	292.9170833
80077	403937	4681735	266.6081526	175.5615266	298.0020609
80081	407965	4681779	205.3832466	187.3018729	287.0351769
80083	410906	4681775	168.701692	156.5096135	224.0205971
80085	412931	4681730	296.2152705	227.6411743	235.2546695
80087	415906	4681796	803.2026925	474.0449193	1283.748864
80091	408915	4680597	261.9063397	206.3443793	263.4279918
80095	414884	4680772	50.74581733	37.79854454	56.90996778
80096	415879	4680805	176.2545271	124.610586	167.5665783
80098	417914	4680821	211.6774806	196.6159769	229.1285661
80101	404868	4679747	159.5863543	140.5526378	179.8769745
80105	409868	4679802	237.6730296	252.7087235	338.4748854
80106	410901	4679746	121.7988528	131.3516829	291.154022
80114	420924	4679764	79.68849379	91.02113754	103.7051653
80115	402898	4678807	223.2498456	170.2617705	239.3633248
80116	403921	4678831	228.4090222	164.1924989	269.5672381
80118	408906	4678796	425.7331303	309.7646363	428.8211182
80121	412816	4678718	303.6389034	215.497578	305.3615792
80123	417854	4678693	213.1060775	211.8967073	296.8344337
80124	418906	4678796	59.04998401	104.1282884	198.8001997
80126	402873	4677748	41.04737902	49.3316704	67.58686844
80128	405882	4677699	221.4391604	188.3489238	252.8432257
80130	410908	4677771	28.9310186	25.99113239	38.30223905
80131	411882	4677743	96.82139742	76.86610197	104.7975634
80132	412919	4677746	154.195062	92.62692815	159.450838
80138	405845	4676724	132.3520776	165.1851932	248.7668683
80139	406875	4676801	268.9815684	238.8087231	373.8244681
80144	413908	4676794	2.601308183	3.505892544	4.019565885
80145	418900	4676767	76.54847217	68.52947246	85.8438667
80148	404906	4675796	362.3379518	275.0483986	345.8060796
80153	411916	4675771	263.4958355	186.0362698	303.7310747
80155	413903	4675725	263.5448369	184.7705867	279.3526578
80158	416909	4675723	208.5390233	150.941438	223.5626916
80160	418890	4675767	178.4835483	122.0465739	203.2961947
80168	414891	4674743	128.5513484	98.40888269	179.5928672
80169	416868	4674754	327.2778129	200.3876753	309.5359945
80171	418925	4674746	52.39744606	37.92653429	65.78580271
80172	404910	4673792	388.2010869	297.7712941	436.1881968
80174	406844	4673742	441.2497602	282.3332993	449.8181849
80177	409917	4673752	69.66260957	57.96968856	97.27672645
80178	411947	4673763	74.44231941	42.21246148	78.73767295
80182	415903	4673762	206.5101758	166.5950937	264.5329479
