ID	PLOTS	X	Y	SetasIFN2	SetasIFN3	SetasIFN4	MaderaIFN23	MaderaIFN34	AguaIFN2	AguaIFN4	CarbonoIFN2	CarbonoIFN4
2786	80001	401922	4683695	NA	NA	NA	3.792	4.355	0.619	0.489	1.296	1.633
2778	80002	399895	4682821	69.778	85.87246452	67.471	3.677	1.979	0.364	0.276	1.007	0.478
2779	80003	400898	4682826	NA	NA	NA	3.737	5.739	0.611	0.324	1.516	2.246
2772	80004	401903	4682780	NA	NA	NA	0.723	4.606	0.722	0.227	0.339	3.079
2741	80005	399917	4681736	NA	NA	NA	1.21	1.474	0.428	0.208	0.443	0.974
2730	80006	396931	4680825	79.355	95.65651114	76.099	3.53	1.893	0.494	0.246	1.218	0.689
2677	80014	397927	4679764	26.753	72.26856526	68.18	5.612	5.815	0.642	0.434	2.198	1.148
2669	80020	397842	4678864	78.688	82.63360318	63.657	7.916	3.417	0.289	0.085	2.908	0.488
2624	80024	395903	4677804	22.489	28.91728102	12.132	1.01	0.196	0.743	0.652	0.362	-0.53
2601	80028	397907	4676810	70.168	63.30704577	62.095	2.355	2.72	0.516	0.292	-1.047	0.957
2575	80033	396898	4675792	41.378	63.89410093	58.141	3.446	2.219	0.698	0.494	1.363	-0.1
2571	80034	400893	4675783	50.683	71.63732684	65.176	2.967	3.293	0.573	0.402	1.222	1.444
2519	80038	393945	4673806	78.92	73.0974642	57.999	2.908	3.645	0.487	0.507	-0.963	0.829
2507	80041	397872	4673769	NA	NA	NA	8.003	3.867	0.475	0.398	2.637	-1.309
2522	80043	399945	4673823	65.515	94.73565319	77.01	4.073	4.042	0.647	0.403	1.49	1.413
2486	80044	391905	4672812	43.526	76.30930006	68.528	3.214	2.663	0.681	0.481	1.293	0.972
2466	80046	393915	4672746	55.318	68.43278744	46.449	1.616	1.665	0.718	0.419	0.56	0.592
2484	80047	394893	4672799	NA	NA	NA	4.06	4.376	0.467	0.573	1.071	-0.558
2491	80049	396938	4672836	93.363	101.4217501	70.162	6.245	5.867	0.612	0.523	1.388	0.274
2478	80050	397963	4672776	NA	NA	NA	5.874	3.586	0.405	0.634	1.972	-2.674
2458	80055	399928	4671826	NA	NA	NA	6.64	7.056	0.559	0.405	2.715	2.558
2433	80059	399872	4670827	NA	NA	NA	1.889	2.755	0.531	0.357	0.57	1.065
2392	80063	398884	4669764	NA	NA	NA	7.521	6.777	0.431	0.271	2.846	2.35
2404	80064	399831	4669789	NA	NA	NA	4.045	4.328	0.39	0.218	0.778	1.629
2808	80068	408944	4683846	NA	NA	NA	5.677	1.995	0.606	0.625	1.696	-1.616
2784	80075	406845	4682897	82.506	94.51845273	82.093	11.103	5.003	0.4	0.208	3.299	0.408
2769	80076	407933	4682760	85.578	115.3164217	95.873	10.559	6.99	0.564	0.286	3.789	0.405
2740	80077	403937	4681735	78.925	101.6920762	87.001	5.53	3.631	0.345	0.219	1.746	0.861
2749	80081	407965	4681779	NA	NA	NA	7.614	7.088	0.637	0.412	3.905	3.428
2748	80083	410906	4681775	67.908	94.58035012	79.214	7.569	5.436	0.447	0.043	3.151	2.485
2738	80085	412931	4681730	54.092	86.09742339	38.671	4.788	1.245	0.319	0.468	1.806	-2.767
